Sharpe,CAGR,MERTON_N_TOP,COMPOSITE_MOMENTUM_WINDOW,COMPOSITE_MOMENTUM_SKIP,COMPOSITE_REVERSAL_WINDOW,COMPOSITE_TREND_WINDOW,COV_SHORT_WINDOW,VIEW_SCALE,COV_BLEND_ALPHA,COV_SHRINKAGE,MERTON_GAMMA,BL_DELTA,MERTON_MAX_SECTOR
0.7862616689543593,0.13208809142244204,35,154,1,23,122,32,0.5182552060974103,0.6435482418127189,0.11244340844580726,-0.7586936004559424,3.042095823791846,0.2778624977211929
0.7775558712564322,0.13488411560061642,26,117,32,41,222,83,0.457475549225131,0.3908703379131384,0.14348118445380587,-0.44055623426234297,1.6615733457612967,0.47352566928566997
0.7054269515721083,0.12017242314808607,25,71,29,27,207,22,0.5080030512495025,0.6208238878468928,0.23806826473677023,-1.0726440349068593,2.894558339142802,0.41678498091665367
0.808538502785403,0.14001556336337861,35,140,7,22,215,41,0.36919005670143135,0.8634281288662103,0.1546753223163324,-0.9934759850857464,1.6151302151445088,0.27132554353350924
0.7067582788981155,0.12394126817887519,13,88,40,28,110,49,0.5284209958067037,0.5497209017794481,0.26847699219648746,-0.8779433810995769,2.494032202505111,0.34992135136769115
0.7184681519273062,0.12488221872698357,26,120,10,42,147,30,0.5354428812475696,0.45205703130546526,0.3293169013162096,-1.2459717821221186,2.2828773495054007,0.42813119053263304
0.7460161659261144,0.12731432500392903,16,181,16,21,149,85,0.26940567355832973,0.42566920844516176,0.37912103834600763,-0.4670466034897808,3.45206987373854,0.49455547820914225
0.7552930205584955,0.12647201501599303,27,178,40,26,102,53,0.28837871676510207,0.475577282636349,0.16116941646924235,-0.6570100046907787,3.3795584473906795,0.3924920818261911
0.7625780208674273,0.13164369442918677,19,154,11,15,117,115,0.3481533436484871,0.6973503080212656,0.3524060763392666,-1.1521425540526902,1.8762097230795265,0.3892858273933116
0.755291468205391,0.12736468799023415,31,167,34,37,148,26,0.4608222151837291,0.46515429469586994,0.08714091268651895,-1.1734757880718056,1.7434450967345618,0.3433524117116788
0.7665377659388779,0.1316517584467325,17,125,46,40,240,113,0.4434646395825435,0.35873749265456106,0.20759479719951843,-1.1362159935195435,3.4558126239049747,0.47869405595056425
0.7662736177719461,0.13213050285417904,15,179,34,36,145,100,0.4256270005781149,0.6161630047447632,0.25379739809130525,-0.9717132966874262,2.5118723279326525,0.290261512264235
0.7297174331162657,0.12737010323003295,32,94,7,13,246,57,0.3206726770421699,0.5659822216417009,0.37076595856540756,-1.3195483492628053,2.3655569166608634,0.31259551557139775
0.7774735203555443,0.13286310781244315,35,187,15,24,183,84,0.533241604801343,0.7129304877400878,0.2292471413808495,-1.0985297846022877,3.048882991740632,0.3522476316226617
0.7931885121013558,0.13834016461400322,19,159,19,12,114,23,0.2553984566907376,0.7312665672492689,0.39769397754814245,-1.2750004760517908,3.126786871139543,0.40059716890733116
0.7597225997066526,0.12964402532285324,22,123,49,39,200,79,0.358052763721766,0.3227723595513354,0.26824624652337453,-0.6460698805108172,2.6668574583926175,0.4516173068880067
0.8109338442250849,0.13948613678792987,28,138,36,31,104,50,0.18536928846147188,0.639093642062063,0.3064781466082583,-0.8970208302665231,1.8551982416291395,0.45169914476961975
0.7073199921007292,0.12124494180015688,21,85,17,20,108,112,0.2076201050016329,0.4820249919704752,0.3846985990523055,-0.9533774716477413,2.0262811304710784,0.25137053626618155
