Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2024-02-29,16796469.38,True,3552.24,"IWDA.L, EWJ, IUSN.DE, IEMA.L, EWZ, INDA, XLC, XLF, XLB, ITB, XLV, XLK, SOXX, IGV, CIBR, GLD, COPX, HYG, LQD, BITO",20,0.0,normal,"rebalance: BITO peso=0.1309 fuera de [0.0587, 0.0987]"
2024-03-28,17566078.23,True,3706.91,"IWDA.L, EWJ, IEMA.L, EWZ, INDA, XLC, XLF, XLI, IYT, ITB, XLV, XBI, XLP, XLK, SOXX, CIBR, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: COPX peso=0.0294 fuera de [0.0000, 0.0200]"
2024-04-30,16788884.45,True,4503.7,"IWDA.L, EWJ, EWT, XLC, XLF, KBE, XLI, XLB, ITB, XBI, SOXX, BOTZ, GLD, DBA, COPX, BITO",16,0.0017,normal,"rebalance: BITO peso=0.0728 fuera de [0.0842, 0.1242]"
2024-05-31,17421512.91,True,2849.14,"INDA, XLC, XLF, KBE, XLI, ITB, XBI, XLP, SOXX, BOTZ, GLD, COPX, BITO",13,0.0002,normal,"rebalance: BOTZ peso=0.0179 fuera de [0.0384, 0.0784]"
2024-06-28,17453773.6,True,4311.02,"IWDA.L, VGK, INDA, EWT, XLC, XLF, KBE, XLI, XLP, XLU, SOXX, SLV, DBA, COPX, BITO",15,0.0128,normal,"rebalance: BOTZ peso=0.0592 fuera de [0.0000, 0.0200]"
2024-07-31,17683982.56,True,1881.2,"IWDA.L, IEMA.L, INDA, EWT, XLC, XLF, KBE, XLE, XLI, XLP, XLU, XLK, SOXX, VNQ, GLD, SLV, DBA, COPX, BITO",19,0.0061,normal,"rebalance: EWT peso=0.0721 fuera de [0.0289, 0.0689]"
2024-08-30,17422993.43,True,3128.04,"IWDA.L, IUSN.DE, IEMA.L, INDA, EWT, XLC, XLF, KBE, XLB, ITB, XBI, XLU, SOXX, VNQ, GLD, SLV, BITO",17,0.0034,normal,"rebalance: COPX peso=0.0282 fuera de [0.0000, 0.0200]"
2024-09-30,17895779.74,True,3952.81,"IWDA.L, VGK, IEMA.L, MCHI, INDA, EWT, XLC, XLF, KBE, XLI, ITB, XLV, XLP, XLU, XLK, VNQ, GLD, SLV, DBA",19,0.0089,normal,"rebalance: BITO peso=0.0938 fuera de [0.0000, 0.0200]"
2024-10-31,18075448.93,True,2956.61,"IWDA.L, IUSN.DE, IEMA.L, MCHI, INDA, EWT, XLY, XLC, XLF, KBE, XLI, ITB, XLP, XLU, XLK, IGV, VNQ, GLD",18,0.0081,normal,"rebalance: DBA peso=0.0317 fuera de [0.0000, 0.0200]"
2024-11-29,19454451.64,True,3499.12,"IWDA.L, IEMA.L, MCHI, EWT, XLY, XLC, XLF, KBE, XLI, ITB, XLU, IGV, CIBR, VNQ, GLD, SLV, HYG, BITO",18,0.0035,normal,"rebalance: BITO peso=0.0000 fuera de [0.0376, 0.0776]"
2024-12-31,18910090.75,True,1708.37,"IWDA.L, IEMA.L, MCHI, EWT, XLY, XLC, XLF, KBE, XLI, ITB, XLP, XLU, IGV, CIBR, VNQ, GLD, BITO",17,0.0073,normal,"rebalance: BITO peso=0.0571 fuera de [0.0596, 0.0996]"
2025-01-31,19728228.81,True,4701.09,"IUSN.DE, MCHI, XLY, XLC, XLF, KBE, XLP, XLU, IGV, CIBR, VNQ, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",19,0.0054,normal,"rebalance: DBA peso=0.0000 fuera de [0.0248, 0.0648]"
2025-02-28,19509109.15,True,5100.78,"IWDA.L, MCHI, XLY, XLC, XLF, KBE, XLI, IGV, CIBR, GLD, DBA, BITO",12,0.0,normal,"rebalance: BITO peso=0.0749 fuera de [0.0991, 0.1391]"
2025-03-31,18120448.57,True,2838.01,"VGK, MCHI, XLY, XLC, XLF, KBE, XLI, XLU, CIBR, LIT, GLD, DBA, TIP, HYG, EMB, BITO",16,0.0007,normal,"rebalance: CIBR peso=0.0809 fuera de [0.0844, 0.1244]"
2025-04-30,17467099.14,True,3128.31,"VGK, MCHI, XLC, XLF, XLE, XLP, XLU, CIBR, GLD, SLV, DBA, IEF, TIP, HYG, EMB, BITO",16,0.0161,caution,"rebalance: CIBR peso=0.1087 fuera de [0.0574, 0.0974]"
2025-05-30,18157309.98,True,2109.94,"VGK, EWJ, MCHI, EWZ, XLC, XLF, XLP, XLU, IGV, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",18,0.0053,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0835, 0.1235]"
2025-06-30,18087482.84,True,3125.4,"VGK, EWJ, IEMA.L, MCHI, EWZ, EWY, XLC, XLF, XLI, XLP, XLU, CIBR, GLD, DBA, IEF, TIP, HYG, EMB, BITO",19,0.0063,normal,"rebalance: BITO peso=0.1032 fuera de [0.0556, 0.0956]"
2025-07-31,18560788.77,True,5423.68,"VGK, IUSN.DE, IEMA.L, MCHI, EWZ, EWY, XLC, XLF, XLI, XLB, XLP, XLK, CIBR, GLD, SLV, COPX, BITO",17,0.0036,normal,"rebalance: BITO peso=0.0816 fuera de [0.0292, 0.0692]"
2025-08-29,18808464.18,True,4916.39,"IWDA.L, VGK, IUSN.DE, IEMA.L, MCHI, EWT, EWY, XLI, XLU, XLK, GLD, SLV, BITO",13,0.0056,normal,"rebalance: CIBR peso=0.0526 fuera de [0.0000, 0.0200]"
2025-09-30,19836710.19,True,5507.76,"EWJ, IUSN.DE, IEMA.L, EWZ, EWY, XLC, KBE, XLI, ITB, XLU, XLK, SOXX, GLD, SLV, COPX",15,0.01,normal,"rebalance: BITO peso=0.0273 fuera de [0.0000, 0.0200]"
2025-10-31,20858366.55,True,9443.67,"VGK, MCHI, EWY, XLC, ITB, XBI, XLP, XLK, SOXX, VNQ, LIT, SLV, COPX",13,0.0,normal,"rebalance: COPX peso=0.0383 fuera de [0.1105, 0.1505]"
2025-11-28,20938856.1,True,6925.15,"IWDA.L, IEMA.L, EWT, EWY, XLC, KBE, XBI, XLP, XLK, SOXX, LIT, SLV, COPX",13,0.0,normal,"rebalance: COPX peso=0.1350 fuera de [0.0889, 0.1289]"
2025-12-31,21650204.19,True,8021.91,"IEMA.L, EWZ, EWY, XLC, ITB, XLV, XBI, XLU, XLK, SOXX, LIT, GLD, SLV, COPX, TLT, IEF, EMB",17,0.0,normal,"rebalance: COPX peso=0.1188 fuera de [0.0000, 0.0352]"
2026-01-30,23129515.8,True,6978.94,"IWDA.L, EWJ, IEMA.L, EWY, XLY, XLC, XLF, XLV, XBI, SOXX, LIT, SLV, COPX, EMB",14,0.0125,normal,"rebalance: COPX peso=0.0165 fuera de [0.1143, 0.1543]"
2026-02-27,25305875.31,True,7474.25,"IUSN.DE, IEMA.L, EWZ, EWY, XLF, KBE, IYT, XBI, SOXX, LIT, SLV, COPX",12,0.0006,normal,"rebalance: COPX peso=0.1404 fuera de [0.0910, 0.1310]"
2026-03-31,23746700.96,True,8648.46,"IUSN.DE, EWT, EWY, XLY, XLF, KBE, XLE, XLI, IYT, XLV, XBI, XLP, SOXX, CIBR, VNQ, LIT, GLD, SLV, COPX",19,0.0085,caution,"rebalance: CIBR peso=0.0000 fuera de [0.0613, 0.1013]"
2026-04-30,25899525.25,True,8015.56,"IWDA.L, EWJ, IUSN.DE, EWZ, EWT, EWY, XLY, XLF, KBE, XLE, XOP, XLB, XBI, XLU, SOXX, LIT, GLD, SLV, DBA",19,0.0092,normal,"rebalance: CIBR peso=0.0786 fuera de [0.0000, 0.0200]"
