Date,Strategy,SP500,MSCI_World (URTH)
2017-02-14,16743040.433566084,18456353.202138055,15952540.234042352
2017-02-15,16833956.78789797,18588092.61085034,16014261.902689558
2017-02-16,16705268.571924202,18521384.081480905,16009906.735742288
2017-02-17,16551336.814882405,18437829.31455525,15896056.400621494
2017-02-20,16640540.7275909,18437829.31455525,15896056.400621494
2017-02-21,16794760.53320092,18657490.866317283,16054685.83323867
2017-02-22,16833412.460843235,18759983.23448013,16171869.138693737
2017-02-23,16756917.60936139,18751308.772598695,16138828.927149596
2017-02-24,16646348.330465032,18721201.372449476,16092498.574944507
2017-02-27,16716033.724632468,18806822.434089165,16151325.364286264
2017-02-28,16585969.990120038,18700246.340635795,16067822.229642697
2017-03-01,16909384.19921965,18989102.04301737,16261959.042795196
2017-03-02,16724479.297697045,18929149.776329618,16208643.627036197
2017-03-03,16811406.993201546,18988161.827705212,16303528.633040428
2017-03-06,16533147.815687066,18734246.650543507,16081619.404652914
2017-03-07,16473546.858832715,18751083.83132663,16092160.24132664
2017-03-08,16303234.449183965,18732315.608181093,16055848.637796983
2017-03-09,16257430.289048424,18796508.82367598,16109298.187201
2017-03-10,16293551.995961593,18807073.624220762,16153836.998702183
2017-03-13,16206137.511303743,18620108.833311662,16051214.84447473
2017-03-14,16137878.092127291,18616069.48034808,15980957.845576094
2017-03-15,16471147.07695729,18846164.511303924,16216402.919220371
2017-03-16,16297376.661563337,18589328.577351246,16088567.159444029
2017-03-17,16231344.081065368,18493316.252721522,15996773.893327033
2017-03-20,16249157.29635391,18527567.830361065,16025517.028515324
2017-03-21,15963310.799088856,18298721.827481877,15860835.188459685
2017-03-22,15874436.531505756,18214949.60028527,15838904.97114257
2017-03-23,15887981.18911069,18233083.83121038,15824579.56790313
2017-03-24,15891571.129527431,18230459.49846629,15856305.863099713
2017-03-27,15752886.676783852,18101572.731077008,15748180.447959298
2017-03-28,15881280.999584522,18214104.513974573,15857551.89640606
2017-03-29,16032032.869729402,18303998.24297506,15906656.040625894
2017-03-30,16170541.096618222,18461408.916733332,16025329.229179647
2017-03-31,16233612.440738518,18543476.58388058,16076330.459747361
2017-04-03,16227792.38634208,18542879.01909485,16097608.14707491
2017-04-04,16278454.803564953,18552525.41058018,16070907.604986755
2017-04-05,16255507.40253565,18479608.7600229,16028617.572424833
2017-04-06,16292257.88859404,18545213.732431337,16048703.573713787
2017-04-07,16298241.188530454,18574749.294545412,16096884.65289555
2017-04-10,16397826.61193426,18695806.029501222,16196322.233864576
2017-04-11,16343832.652295314,18646098.597415563,16201646.106679123
2017-04-12,16190267.287414689,18540389.314520963,16132873.410758952
2017-04-13,15948157.657754142,18317552.304354984,15917046.178442301
2017-04-17,16184270.52706174,18584550.116403025,16125755.599904604
2017-04-18,16052974.524065226,18469910.855878107,16014143.93939955
2017-04-19,15915486.213930542,18291322.78899794,15874119.6962143
2017-04-20,16061928.7379509,18463741.3516439,15991165.395982489
2017-04-21,16019689.745591652,18405102.435304016,15974864.56171569
2017-04-24,15969402.01690197,18335367.796292383,16004987.152922101
2017-04-25,16039631.81176873,18457493.757681705,16117902.93784011
2017-04-26,15920896.305204405,18338870.22004569,16000154.583999788
2017-04-27,15907967.416608913,18386745.710520506,16016346.702184018
2017-04-28,15942981.559006672,18422131.36653904,16080186.772943255
2017-05-01,15928726.940854682,18395317.029801812,16064966.39345398
2017-05-02,15906865.202660033,18399843.532809537,16070953.503598927
2017-05-03,15773172.088826755,18332595.132544663,16017562.075872086
2017-05-04,15762175.197516154,18432790.23379797,16138904.390343964
2017-05-05,15699297.007149033,18349396.919539627,16089277.720737318
2017-05-08,15709741.978133896,18373741.567805406,16085141.690600168
2017-05-09,15816066.305671148,18419673.895210866,16132092.823177444
2017-05-10,15909881.464760274,18522114.575408876,16200844.939578291
2017-05-11,15942780.860153526,18511650.754817747,16190324.162684718
2017-05-12,15943176.992165895,18490563.14813359,16211135.715074798
2017-05-15,16013145.506864741,18486639.89427199,16223655.78058675
2017-05-16,15978408.380524317,18378086.339785688,16183357.802964117
2017-05-17,15490440.2554666,17869401.692499682,15765111.76640248
2017-05-18,15452136.400361888,17841074.406812552,15704651.173309024
2017-05-19,15723654.425700907,18026227.285574634,15900092.200402953
2017-05-22,15685012.734127196,17970165.67611907,15878868.71206746
2017-05-23,15619798.534134628,17955445.743634123,15801379.67667077
2017-05-24,15751407.52331099,18093207.340472456,15956608.165190972
2017-05-25,15739247.383938007,18096150.90205714,15889186.365952136
2017-05-26,15756321.315184621,18124922.677524198,15917738.4373995
2017-05-29,15805251.167804925,18124922.677524198,15917738.4373995
2017-05-30,15824417.570204934,18242152.271824084,16058412.77386975
2017-05-31,15674811.175055398,18168002.7579449,15963539.10399601
2017-06-01,15722380.343995485,18195456.49361194,15985155.585986279
2017-06-02,15882813.284831353,18301175.09162641,16103385.616456
2017-06-05,15739836.221330605,18182257.492863998,15959696.564227479
2017-06-06,15726991.961061483,18162775.31269955,15960409.572948787
2017-06-07,15725608.921052907,18172826.669968925,15947571.33662421
2017-06-08,15783932.794305414,18208006.917398598,15978421.446616337
2017-06-09,15804915.289479379,18294758.047609232,16051338.394997463
2017-06-12,15735337.35602289,18262968.452201057,15997196.695837088
2017-06-13,15880108.076358946,18361732.04267263,16094117.296416147
2017-06-14,15846200.481445294,18317715.30742565,16034581.497848013
2017-06-15,15700188.92796098,18271199.941534214,15938138.987707699
2017-06-16,15838089.704620693,18388131.719625775,16127684.94872919
2017-06-19,15919309.994524004,18439732.9724196,16139811.843464587
2017-06-20,15929124.160645375,18420070.549812987,16090665.431266854
2017-06-21,16026337.341107706,18428040.689228185,16073582.959719848
2017-06-22,15981681.138318244,18369848.423054345,16030082.7969594
2017-06-23,16066588.6004699,18420741.427856065,16107300.477041718
2017-06-26,16042757.631448176,18351891.63681766,16052466.880955862
2017-06-27,15905230.06414581,18228916.90690353,16006632.591857195
2017-06-28,15862940.801231887,18139692.934964556,15902965.037309071
2017-06-29,15606904.221875297,17911555.33636799,15724704.551254472
2017-06-30,15572228.58088089,17852421.854587268,15649464.96937484
2017-07-03,15563763.475695595,17911744.584172655,15682695.471359074
2017-07-04,15631566.057148902,17911744.584172655,15682695.471359074
2017-07-05,15669383.882174121,18052622.743448883,15781353.639019284
2017-07-06,15600321.86692211,17908475.54325118,15697671.266462432
2017-07-07,15589774.556885151,17901694.361890625,15658907.391634196
2017-07-10,15689966.937997773,17953884.36581263,15715070.394989783
2017-07-11,15695153.477551227,17940551.97967043,15722894.515539464
2017-07-12,15763842.090687504,17964884.607342735,15727800.989933638
2017-07-13,15870611.011012752,18081787.427757908,15860207.347148526
2017-07-14,16012611.389559621,18189979.963339675,15963125.7250707
2017-07-17,15909587.154317258,18074507.16093518,15830710.234005926
2017-07-18,15916707.168056162,18085735.605008718,15865186.404939067
2017-07-19,15883797.031977728,18064935.39349305,15836869.103887951
2017-07-20,15923492.724654624,18106379.120410025,15906739.837523775
2017-07-21,15823470.307486447,17934261.545598563,15704400.466898488
2017-07-24,15744361.697353631,17848584.896529846,15625544.73788314
2017-07-25,15831601.039478905,17957813.62161954,15742412.920231719
2017-07-26,15873723.37527474,17949760.627492122,15773000.422260035
2017-07-27,15733990.947746946,17805482.179995302,15609465.527751833
2017-07-28,15759046.144501168,17844459.90807257,15681075.117719755
2017-07-31,15683446.400578149,17745326.235147804,15612293.406584905
2017-08-01,15656903.437707795,17669345.209255375,15601362.027356481
2017-08-02,15702565.918511583,17697147.70440883,15580589.022959173
2017-08-03,15623410.266582714,17603363.223524563,15520619.468936767
2017-08-04,15668590.747525603,17585273.90704311,15495231.101190599
2017-08-07,15859813.430393713,17777314.966699503,15654299.62679394
2017-08-08,15782959.487837533,17699730.523455575,15565875.02527742
2017-08-09,15759016.226133488,17768777.78385484,15617746.235121174
2017-08-10,15424762.86852997,17507665.699504577,15386831.367560184
2017-08-11,15447127.338841695,17520532.774386305,15352707.118927144
2017-08-14,15559247.669490982,17611532.384372953,15433646.777488789
2017-08-15,15614306.673660658,17683733.631327726,15474194.65311411
2017-08-16,15755831.225553479,17766732.275466774,15572904.867566241
2017-08-17,15525300.735467106,17440650.687095188,15324746.969818138
2017-08-18,15594658.557109231,17500734.06723049,15407325.346756397
2017-08-21,15574572.901997454,17453699.215029176,15348205.229750747
2017-08-22,15659472.896498844,17553065.14475853,15417376.95306225
2017-08-23,15697153.486487273,17564091.07317962,15454151.221572474
2017-08-24,15664493.67692097,17442566.166950896,15349122.837678384
2017-08-25,15758958.82822099,17504592.007898282,15409354.650800351
2017-08-28,15596105.172808077,17286107.994230106,15218260.02333379
2017-08-29,15543525.261998512,17288522.669327382,15208574.529994486
2017-08-30,15612674.298240567,17360866.11866889,15213232.58422814
2017-08-31,15876004.100986945,17578419.600800347,15433577.04502651
2017-09-01,15908025.200968165,17578155.05840213,15424650.748637822
2017-09-04,15920321.919863315,17578155.05840213,15424650.748637822
2017-09-05,15813273.593468564,17476850.427983783,15354862.375476487
2017-09-06,15806847.940718684,17491458.885272484,15369627.138924764
2017-09-07,15884757.896945197,17483916.650841188,15428399.416882366
2017-09-08,15775662.065130664,17316315.970707603,15283650.004437296
2017-09-11,15971612.658217302,17517644.643171422,15446558.24586938
2017-09-12,16084016.931291258,17662234.609036937,15549698.541382812
2017-09-13,15988102.082218518,17648307.68900239,15518814.54012239
2017-09-14,16143690.880778799,17767313.814524554,15647200.61525564
2017-09-15,16134378.006031211,17744903.201765157,15619545.466967115
2017-09-18,16183600.918182885,17759537.72648468,15612314.582499735
2017-09-19,16186370.315025222,17744423.15713257,15609522.25019137
2017-09-20,16091328.353306452,17701561.76839347,15594090.149137277
2017-09-21,16213289.531994186,17833245.250185043,15694105.502276622
2017-09-22,16062647.451126607,17727129.21555391,15644241.541206326
2017-09-25,15982522.779236445,17718146.24084309,15610409.658108016
2017-09-26,16073102.36082401,17835818.458659288,15691460.455675883
2017-09-27,16179553.140499877,18010988.91556566,15859755.912752444
2017-09-28,16291248.585419709,18088498.22382145,15889947.598806595
2017-09-29,16365528.707055552,18102598.887623783,15909060.778925056
2017-10-02,16395368.158314088,18141725.440052483,15936874.944332438
2017-10-03,16613219.746832369,18294539.41763929,16055789.875822602
2017-10-04,16679396.901731042,18294750.124252867,16059717.640844299
2017-10-05,16733805.406608928,18388014.706204996,16103393.4823199
2017-10-06,16742664.028093005,18437472.01207597,16125146.379756384
2017-10-09,16682574.76346692,18359822.054140683,16061005.125682931
2017-10-10,16775900.704627903,18409554.584462818,16139971.016095065
2017-10-11,16701322.710811524,18324166.825899176,16092731.897202242
2017-10-12,16669958.680323182,18218821.831387565,16014703.012991596
2017-10-13,16799222.730393462,18292941.686790865,16099870.300866859
2017-10-16,16856242.777952068,18344866.622274317,16131608.87366133
2017-10-17,16820399.900739472,18388163.126585566,16160182.378424864
2017-10-18,16851797.62385924,18441538.00826441,16202610.028677983
2017-10-19,16793539.116483238,18410108.66012122,16174345.78371124
2017-10-20,16728039.624264168,18422607.98781869,16134213.912247937
2017-10-23,16822244.309857465,18498367.464667067,16250547.6296686
2017-10-24,16822930.77550443,18522154.622952677,16239111.42965992
2017-10-25,16715744.677407332,18430690.055056367,16154002.278664963
2017-10-26,16568495.699843602,18358159.57867866,16096066.098976223
2017-10-27,16937624.177928973,18800116.871496096,16409255.64110216
2017-10-30,17012765.263168596,18782833.445669793,16445867.29874696
2017-10-31,17012821.357599612,18734377.461025055,16427655.013803663
2017-11-01,17067231.05931607,18760673.84770878,16430912.329474697
2017-11-02,17042093.107922785,18805138.44124016,16499874.776143763
2017-11-03,17019869.47640302,18814384.459155787,16447328.65126396
2017-11-06,17197381.40293629,18919541.732864536,16577017.695878774
2017-11-07,17180678.17423853,18910118.95992938,16545740.26822468
2017-11-08,17295937.41888954,18961197.42586027,16616066.260756107
2017-11-09,17181388.63893925,18899206.18470927,16525939.433879102
2017-11-10,17092572.21738269,18812281.53265177,16451198.743891817
2017-11-13,17061145.852099285,18806741.709808294,16398586.394830748
2017-11-14,16955959.46333366,18756944.142766945,16356924.878256597
2017-11-15,16653727.565405846,18460594.34237967,16115217.12715188
2017-11-16,16889549.94567913,18617525.013850283,16251306.073361997
2017-11-17,16939935.75964488,18587111.773925837,16234722.308370735
2017-11-20,17066242.265860908,18691191.75135725,16322523.12022404
2017-11-21,17264942.079816587,18798475.1651203,16412014.950505586
2017-11-22,17287941.973297216,18788243.74448668,16425199.166606443
2017-11-23,17170652.738062155,18788243.74448668,16425199.166606443
2017-11-24,17163896.14901114,18646190.651094522,16336786.549310746
2017-11-27,16931701.965716913,18523552.812872313,16192587.263088167
2017-11-28,17097705.419748537,18745392.105664734,16345516.149229614
2017-11-29,17006333.71689131,18823863.299972508,16384427.743472911
2017-11-30,17014335.16011355,18982357.10581797,16467382.957549224
2017-12-01,16899775.595341913,18869324.98904878,16375268.113833591
2017-12-04,16858424.818282325,18907489.7679591,16386918.479987554
2017-12-05,16663759.898028363,18826977.199714586,16338468.60044431
2017-12-06,16560292.377088849,18885973.450306255,16382789.609066665
2017-12-07,16755320.999460075,18991472.990246315,16462184.493793806
2017-12-08,16954840.561568435,19147108.672447115,16582813.101210473
2017-12-11,17008570.02309842,19208418.257997323,16612449.405803505
2017-12-12,16929372.715638522,19229858.279069196,16656575.724737175
2017-12-13,17098411.457341608,19284993.979958035,16704308.966211235
2017-12-14,16838377.868245877,19054860.303599082,16533146.4812349
2017-12-15,17043106.754526976,19312917.572714627,16648944.604448775
2017-12-18,17319305.347590297,19487328.35806401,16852888.484990504
2017-12-19,17213871.94548851,19345469.404795967,16763201.425645564
2017-12-20,17204059.063648067,19242135.7302149,16659607.588694885
2017-12-21,17274568.067326058,19221952.85928888,16651482.328907097
2017-12-22,17374212.347483248,19250705.73808839,16716810.236282347
2017-12-26,17351655.14880337,19203053.369117066,16676446.41611223
2017-12-27,17454243.543848332,19236120.889189284,16719810.946009712
2017-12-28,17487693.562248565,19206215.5941757,16689784.97673122
2017-12-29,17349497.033774048,19068217.23924207,16600557.480466086
2018-01-02,17444816.274746425,19093000.37240343,16629508.630377434
2018-01-03,17528191.04823078,19131145.00032285,16656850.202067778
2018-01-04,17648878.63800194,19296613.949276928,16805324.321033016
