Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2022-06-30,27241566.97,True,3818.46,"EWZ, INDA, XLE, XOP, XLB, XLV, XLP, XLU, XLK, GLD, DBA, IEF, TIP, HYG",14,0.0174,caution,"rebalance: COPX peso=0.0219 fuera de [0.0000, 0.0200]"
2022-07-29,29315682.99,True,3949.81,"MCHI, EWZ, INDA, XLE, XOP, XLV, XLP, XLU, LIT, GLD, DBA, IEF, TIP, HYG, LQD",15,0.0163,caution,"rebalance: EWZ peso=0.1383 fuera de [0.0952, 0.1352]"
2022-08-31,29701359.3,True,7901.85,"IUSN.DE, INDA, XLY, XLE, XOP, XLI, XLV, XLP, XLU, XLK, IGV, CIBR, VNQ, LIT, GLD, IEF, TIP, HYG, LQD",19,0.0037,normal,"rebalance: CIBR peso=0.0000 fuera de [0.0091, 0.0491]"
2022-09-30,27874513.22,True,5109.41,"IWDA.L, IUSN.DE, MCHI, EWZ, INDA, XLY, XLE, XOP, XLI, IYT, XLV, XBI, XLP, XLU, VNQ, LIT, DBA, IEF, TIP, HYG",20,0.0,caution,"rebalance: CIBR peso=0.0284 fuera de [0.0000, 0.0200]"
2022-10-31,29142452.73,True,5821.81,"IWDA.L, IUSN.DE, INDA, KBE, XLE, XOP, ITB, XLV, XBI, XLP, LIT, GLD, DBA, IEF, TIP, HYG, LQD, EMB",18,0.0054,caution,"rebalance: EWZ peso=0.0332 fuera de [0.0000, 0.0200]"
2022-11-30,29238289.87,True,4771.65,"IWDA.L, IUSN.DE, EWZ, INDA, XLF, KBE, XLE, XOP, XLI, ITB, XLV, XBI, XLP, LIT, DBA, IEF, TIP, HYG",18,0.0149,caution,"rebalance: EWZ peso=0.0000 fuera de [0.0535, 0.0935]"
2022-12-30,27121250.96,True,6726.84,"VGK, EWJ, IUSN.DE, IEMA.L, INDA, XLF, KBE, XLE, XOP, XLI, IYT, ITB, XLV, XBI, XLP, SLV, IEF, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0668 fuera de [0.0000, 0.0200]"
2023-01-31,27902481.3,True,6282.84,"VGK, EWJ, IUSN.DE, XLF, XLE, XLI, ITB, XLV, XBI, XLP, GLD, SLV, COPX, HYG, EMB",15,0.0157,normal,"rebalance: COPX peso=0.0000 fuera de [0.0214, 0.0614]"
2023-02-28,27500634.28,True,6262.54,"VGK, EWJ, IUSN.DE, IEMA.L, MCHI, EWT, XLF, XLE, XLI, XLB, ITB, BOTZ, GLD, SLV, COPX, BITO",16,0.0094,normal,"rebalance: BITO peso=0.0000 fuera de [0.0403, 0.0803]"
2023-03-31,27495207.34,True,4505.83,"VGK, EWJ, IUSN.DE, EWT, XLF, XLE, XLI, XLB, ITB, SOXX, BOTZ, GLD, COPX, BITO",14,0.0054,normal,"rebalance: BITO peso=0.0716 fuera de [0.0907, 0.1307]"
