w_momentum,w_reversal,w_trend,w_vol_penalty,w_drawdown_buy,MERTON_GAMMA,MERTON_MAX_WEIGHT,MERTON_MAX_SECTOR,MERTON_N_TOP,VIEW_SCALE,BL_TAU,BL_DELTA,BL_RF,COV_BLEND_ALPHA,COV_SHRINKAGE,EWMA_LAMBDA,COV_SHORT_WINDOW,COV_LONG_WINDOW,COMPOSITE_MOMENTUM_WINDOW,COMPOSITE_MOMENTUM_SKIP,COMPOSITE_REVERSAL_WINDOW,COMPOSITE_TREND_WINDOW,COMPOSITE_VOL_WINDOW,COMPOSITE_DRAWDOWN_WINDOW,DN_BAND,DN_MIN_BAND,DN_CRISIS_MULT,DN_CAUTION_MULT,VOL_CAUTION_THR,VOL_CRISIS_THR,CRISIS_VIEW_BOOST,CAUTION_VIEW_BOOST,REGIME_EW_MDD_CRISIS,REGIME_EW_MDD_CAUTION,REGIME_AVG_CORR_CRISIS,REGIME_AVG_CORR_CAUTION,REGIME_LOOKBACK_DD,REGIME_CORR_LOOKBACK,REBALANCE_FREQ,BL_PRIOR_WEIGHTS_MODE,Sharpe
0.3493881275461279,0.10345529348740021,0.07092677320785756,0.4004399874882281,0.07578981827038613,-0.4214494777518607,0.37941156384637614,0.2897241054399424,40,0.347931934637642,0.067491412647402,2.8856691594439736,0.030192881769645425,0.3248670897349132,0.2736655661702278,0.9698112460886779,84,303,135,51,11,178,111,330,0.029819071632268938,0.03582165172630024,1.8728760780290845,1.8766693335889735,0.218499416517335,0.46359366891211534,1.5079561178729526,1.213407079406592,0.35158720919943853,0.21647763421405433,0.4767193706846924,0.2963192446607959,282,79,21,1,0.7514908387892969
0.19459373183183468,0.22790716994719715,0.020567999901609485,0.1492205825195063,0.4077105157998525,-0.9848975867570459,0.44773414360354347,0.31820075942396175,36,0.24398136941517679,0.028565905553806524,2.1979169923647657,0.04210725051876298,0.3956541759641333,0.14719105035427724,0.970454758910546,114,230,107,9,37,154,25,234,0.03660947496252905,0.007222661254440475,2.4844869548038746,1.9894613127864282,0.29511388842538055,0.49303209749551175,1.548569413571317,1.2961184113929893,0.3394995737008688,0.1173534385910769,0.6213833707428098,0.34334117981452544,350,88,10,0,0.5519573174327146
0.07529536593935945,0.02525506271197812,0.18357455599060749,0.372825358749393,0.34304965660866193,-0.44708836233001054,0.5272562841715183,0.48527820513518516,23,0.3936260430103339,0.07871206602061408,2.6747374794133787,0.0036644761724854997,0.33714229189453204,0.3160488204876005,0.8763050187338466,117,330,154,24,40,101,47,268,0.05101265605842672,0.0029553679239345642,1.5221491750205547,1.3066435665724945,0.22148163874581459,0.48257071575550653,1.1003641247030855,1.132987687701806,0.34922967824775203,0.21356053803138655,0.4818476451702218,0.2926911486018167,365,41,21,0,0.634143991165896
0.07062415280307464,0.03084421601031912,0.08896412111823325,0.250403960383919,0.559163549684454,-0.787490919873263,0.34554746733632746,0.29204448523900356,19,0.23312292469543638,0.03366526843286897,2.462070976189935,0.03919907265815038,0.72987041115957,0.12113198635317589,0.8546575363114328,31,370,71,35,21,220,59,372,0.025872246812684754,0.010182041025648273,2.3715594992379754,1.5680677035820714,0.24200364087159607,0.5273826824445816,1.0679984925384223,1.0586433079520847,0.34180271871789714,0.16783739358101668,0.6462194194722471,0.43638805874740255,298,24,21,1,0.5205323528750606
0.17245301538841684,0.27433453760481996,0.42554228267643873,0.0530299387504809,0.07464022557984354,-1.328087404983008,0.20333346892473433,0.46341160478943755,32,0.42833454637054563,0.08017598840030254,2.0760555522329747,0.018782664227783838,0.4056615513591862,0.2607615771679134,0.9590961789581811,66,328,87,49,18,139,66,303,0.028870127064085014,0.02145204563436694,1.220499351123185,1.5403494953095311,0.2450548701759346,0.39979834757950145,1.2096966650510834,1.2133347781838495,0.32658852710816977,0.14891651673135703,0.48141569451613525,0.32516639754000176,195,110,10,1,0.6570543557001758
0.14970504253412964,0.10227500516902385,0.6576410504483533,0.08292725194404403,0.007451649904449101,-0.7343559292515388,0.32240391965110676,0.488824081644546,9,0.4339870612716986,0.07658340227923446,1.927292432347444,0.038969123661531845,0.49723367284081976,0.08852601163675244,0.8565207173688063,59,331,120,32,29,252,49,194,0.03872610618591297,0.03389970590385428,1.0661566086065368,1.2626623206207042,0.19913767252219428,0.42297095613967356,1.210502094984273,1.1184272287166876,0.3932776853606584,0.16954721783779397,0.5750349203928742,0.34240339628097405,339,70,63,0,0.7909962752636286
0.08780697646207843,0.3836169176192557,0.36825155795837033,0.011362550314806019,0.14896199764548937,-0.4967972058743661,0.5059586137420676,0.44988168879791246,23,0.21520176442605274,0.05493576440745832,3.2671873954320203,0.011069592367132553,0.7883498699319197,0.23852690577155722,0.8784385568979562,89,235,141,4,9,202,42,309,0.02202821788979683,0.012056579990659663,2.537529659011959,1.2003624206555266,0.24443838382054658,0.5053521650764472,1.3419813751221974,1.0366666352337974,0.40365030770069005,0.18960571942835483,0.5673382139051454,0.3332547321802984,241,82,63,0,0.8181197466204791
0.055072824974685665,0.6433011353234169,0.0295858658810853,0.1212297955999113,0.15081037822090085,-0.801179966571289,0.4320671387567839,0.3976347531496556,8,0.1609092720661907,0.05111216673985615,1.6585863203950555,0.01884456560099548,0.3472764908187075,0.07322060855706752,0.8635528500524763,108,250,112,39,33,172,50,343,0.036330027458741455,0.011488611389682607,1.9428566606458009,1.0749803279902852,0.2338649802170285,0.4542213238278062,1.4947449913137032,1.0168481776998257,0.3839848646646111,0.16835902783603718,0.5698835099169555,0.28817351900593835,313,70,63,0,0.7013668833664193
0.0959752789015404,0.09459657204449988,0.3285634142576431,0.06980105124486555,0.41106368355145106,-0.7716122452628631,0.430731593561053,0.3783839769602276,14,0.38987691561628685,0.06404745494098117,2.173665873888897,0.028871062858313104,0.3500349148223434,0.21765679926212203,0.9088668342381928,90,198,86,30,33,202,94,157,0.040788778435189736,0.0024810056905981925,2.19432462804746,1.0816841111427897,0.2075282167137193,0.4230090078182339,1.2710448532080378,1.0098960503175118,0.4105186211137309,0.12760415808519102,0.575894535771403,0.3155530808903414,259,84,63,0,0.8038982386659239
0.15755585231686858,0.16997553427801887,0.12640163644060992,0.3374721792813051,0.20859479768319736,-1.2045553778845906,0.23664102015549468,0.3133377972640227,29,0.38117068915835806,0.053150773136665753,2.1225235305541865,0.004425433710033295,0.6579829359397982,0.08849115374708767,0.9171963486038496,55,207,151,32,28,159,37,250,0.0858653919810387,0.0036309334079624956,2.3575199183344786,1.4364069991552433,0.25362032134443413,0.4105555546426053,1.0742712516463317,1.1687185469550756,0.2410990073971068,0.20368554027581173,0.6117611208898102,0.3398015272672593,216,35,21,0,0.6747897988598673
